layer	context	tissue	intervention	rank	mark	rev_beta
transcriptome	muscle/metformin+resistance	muscle	metformin+resistance	15	COL4A2	0.8521478451940735
transcriptome	muscle/metformin+resistance	muscle	metformin+resistance	16	FSCN1	0.8355096950123152
transcriptome	muscle/metformin+resistance	muscle	metformin+resistance	17	ANKRD1	0.82640909244185
transcriptome	muscle/metformin+resistance	muscle	metformin+resistance	18	CFAP61	-0.7817665453747273
transcriptome	muscle/metformin+resistance	muscle	metformin+resistance	19	MYH3	0.7674185301687844
transcriptome	muscle/metformin+resistance	muscle	metformin+resistance	20	CALML6	-0.764037441390742
transcriptome	muscle/metformin+resistance	muscle	metformin+resistance	21	FOS	-0.752366743810498
transcriptome	muscle/metformin+resistance	muscle	metformin+resistance	22	OLFML2B	0.7311767569574065
transcriptome	muscle/metformin+resistance	muscle	metformin+resistance	23	KAZALD1	0.7246145299690624
transcriptome	muscle/metformin+resistance	muscle	metformin+resistance	24	PXDN	0.7204895312995289
transcriptome	muscle/metformin+resistance	muscle	metformin+resistance	25	SPARC	0.718918534875283
transcriptome	blood/bariatric-surgery	blood	bariatric-surgery	1	JCHAIN	1.8804804286533097
transcriptome	blood/bariatric-surgery	blood	bariatric-surgery	2	VWCE	-1.8709528747441604
transcriptome	blood/bariatric-surgery	blood	bariatric-surgery	3	ALAS2	-1.7637356561312565
transcriptome	blood/bariatric-surgery	blood	bariatric-surgery	4	SMIM24	-1.758683339257389
transcriptome	blood/bariatric-surgery	blood	bariatric-surgery	5	PLVAP	-1.6643418688696026
transcriptome	blood/bariatric-surgery	blood	bariatric-surgery	6	HBA2	-1.663781936511034
transcriptome	blood/bariatric-surgery	blood	bariatric-surgery	7	HBA1	-1.6593869396326149
transcriptome	blood/bariatric-surgery	blood	bariatric-surgery	8	TRIM58	-1.6529043481359842
transcriptome	blood/bariatric-surgery	blood	bariatric-surgery	9	SLC6A8	-1.6064898005006971
transcriptome	blood/bariatric-surgery	blood	bariatric-surgery	10	TNFRSF17	1.6015618018066509
transcriptome	blood/bariatric-surgery	blood	bariatric-surgery	11	KRT1	-1.5390220902588785
transcriptome	blood/bariatric-surgery	blood	bariatric-surgery	12	DMTN	-1.5175877476565145
transcriptome	blood/bariatric-surgery	blood	bariatric-surgery	13	GYPB	-1.5173145186388453
transcriptome	blood/bariatric-surgery	blood	bariatric-surgery	14	LTF	-1.5150822111023432
transcriptome	blood/bariatric-surgery	blood	bariatric-surgery	15	SPTB	-1.509754547721567
transcriptome	blood/bariatric-surgery	blood	bariatric-surgery	16	HBM	-1.480821458989029
transcriptome	blood/bariatric-surgery	blood	bariatric-surgery	17	TNS1	-1.480728867623751
transcriptome	blood/bariatric-surgery	blood	bariatric-surgery	18	NPRL3	-1.477035557470906
transcriptome	blood/bariatric-surgery	blood	bariatric-surgery	19	OSBP2	-1.4714199165060002
transcriptome	blood/bariatric-surgery	blood	bariatric-surgery	20	SLC4A1	-1.4654174567748512
transcriptome	blood/bariatric-surgery	blood	bariatric-surgery	21	OR2W3	-1.4384570733845436
transcriptome	blood/bariatric-surgery	blood	bariatric-surgery	22	ACKR1	-1.4251318717143289
transcriptome	blood/bariatric-surgery	blood	bariatric-surgery	23	ESPN	-1.3987882869672992
transcriptome	blood/bariatric-surgery	blood	bariatric-surgery	24	SLC25A39	-1.3865479431328736
