panel	layer	feature	beta	se	p	n	loeuf_cc	p_bonf
gse106737_liver_bariatric_table	transcriptome	loeuf	0.0030135591171841646	0.0071418647494301685	0.6730564761320394	24470	-0.008461911100418145	1.0
gse106737_liver_bariatric_table	transcriptome	tau	-0.009660816232326955	0.007359000389226394	0.18925399031756807	24470		1.0
gse106737_liver_bariatric_table	transcriptome	n_drug_log	0.02370599776671748	0.007258966075008543	0.0010917303166292705	24470		0.014192494116180517
gse106737_liver_bariatric_table	transcriptome	n_gwas_log	0.02542735372218504	0.00679663123135703	0.00018316547563264064	24470		0.0023811511832243283
gse106737_liver_bariatric_table	transcriptome	is_secreted	0.00878025539650938	0.006931995335416756	0.20528854169146116	24470		1.0
gse106737_liver_bariatric_table	transcriptome	is_enzyme	-0.009919411240596148	0.006882809371451526	0.14953203029212073	24470		1.0
gse106737_liver_bariatric_table	transcriptome	is_membrane	0.024603383881432326	0.006930184602699532	0.00038497182264579877	24470		0.005004633694395384
gse106737_liver_bariatric_table	transcriptome	arch_nsig	-0.0359101959717468	0.019062863273106707	0.05959505657634757	24470		0.7747357354925184
gse106737_liver_bariatric_table	transcriptome	arch_str	0.010727334916018929	0.009467424874478566	0.2571813184957198	24470		1.0
gse106737_liver_bariatric_table	transcriptome	causal_nonEGFR	0.000142487337276451	0.007003917980100147	0.9837689982698481	24470		1.0
gse106737_liver_bariatric_table	transcriptome	has_arch	0.011411152400468846	0.019437274419384483	0.5571528352852558	24470		1.0
gse106737_liver_bariatric_table	transcriptome	loeuf_miss	-0.01279105315422918	0.009701066622058647	0.18732953816609188	24470		1.0
gse106737_liver_bariatric_table	transcriptome	tau_miss	-0.0031878745420721127	0.008634787198617658	0.7119863286272274	24470		1.0
gse77962_adipose_diet_table	transcriptome	loeuf	-0.03904317688753618	0.008103108839799537	1.4478946308290258e-06	18615	-0.03441477160472359	1.8822630200777336e-05
gse77962_adipose_diet_table	transcriptome	tau	0.04348148003421857	0.007970327118079412	4.885729132133955e-08	18615		6.351447871774142e-07
gse77962_adipose_diet_table	transcriptome	n_drug_log	0.01595942136207125	0.007795978693092606	0.04064482477031236	18615		0.5283827220140607
gse77962_adipose_diet_table	transcriptome	n_gwas_log	0.018123468507852625	0.007921208381913916	0.022139405239895268	18615		0.28781226811863847
gse77962_adipose_diet_table	transcriptome	is_secreted	0.0039539499330356834	0.007614628080328973	0.6035814434121297	18615		1.0
gse77962_adipose_diet_table	transcriptome	is_enzyme	0.011515087831570663	0.007635527661873306	0.13153065905211467	18615		1.0
gse77962_adipose_diet_table	transcriptome	is_membrane	-0.026365167564158826	0.0076151863982336305	0.000535813043814302	18615		0.006965569569585927
gse77962_adipose_diet_table	transcriptome	arch_nsig	-0.012403418764808067	0.024402251520507123	0.6112500296902046	18615		1.0
gse77962_adipose_diet_table	transcriptome	arch_str	-0.007015613742519208	0.011301015478766474	0.5347345228778236	18615		1.0
gse77962_adipose_diet_table	transcriptome	causal_nonEGFR	-0.008866636280188427	0.010150356514864477	0.38237451111288345	18615		1.0
gse77962_adipose_diet_table	transcriptome	has_arch	0.0156520154713297	0.023850307650009187	0.5116565104567605	18615		1.0
gse77962_adipose_diet_table	transcriptome	loeuf_miss	-0.05658091587313754	0.009178698169668473	7.076312393189835e-10	18615		9.199206111146785e-09
gse77962_adipose_diet_table	transcriptome	tau_miss	-0.01636483022856851	0.008939057591256131	0.06714370428222062	18615		0.8728681556688681
reversal_olink_bbs	proteome	loeuf	-0.048636115205701685	0.02883239242442488	0.09163090396347481	1463	0.01867148560024428	1.0
reversal_olink_bbs	proteome	tau	0.15151947312658268	0.028477393985421148	1.0337267194753762e-07	1463		1.343844735317989e-06
reversal_olink_bbs	proteome	n_drug_log	0.028578200002799422	0.027865461802385187	0.30509061933631787	1463		1.0
reversal_olink_bbs	proteome	n_gwas_log	-0.039839628577286956	0.02804073933298673	0.1553816917754435	1463		1.0
reversal_olink_bbs	proteome	is_secreted	0.08402146339156777	0.03138089030881166	0.007417999419611757	1463		0.09643399245495284
reversal_olink_bbs	proteome	is_enzyme	0.0034115096519753444	0.028251387545927847	0.9038847197239065	1463		1.0
reversal_olink_bbs	proteome	is_membrane	0.0029659031385740435	0.031614814386318475	0.9252571379484646	1463		1.0
reversal_olink_bbs	proteome	arch_nsig	0.05145884501160237	0.15148496376026307	0.7340854307872178	1463		1.0
reversal_olink_bbs	proteome	arch_str	0.031120734945277128	0.0643049497053999	0.6284174414378441	1463		1.0
reversal_olink_bbs	proteome	causal_nonEGFR	0.049701651694809106	0.028222097051716577	0.07822317851019323	1463		1.0
reversal_olink_bbs	proteome	has_arch	-0.04538420992031707	0.19418565752891775	0.8152058062261601	1463		1.0
reversal_olink_bbs	proteome	loeuf_miss	0.0990901244392198	0.09794653867537485	0.311693180044496	1463		1.0
reversal_olink_bbs	proteome	tau_miss	-0.11703741891862474	0.14501230437283472	0.41961686495964867	1463		1.0
reversal_somascan_direct	proteome	loeuf	-0.01577537494770081	0.018853049405775243	0.4027305473403052	4170	-0.06414923038594011	1.0
reversal_somascan_direct	proteome	tau	-0.0512484609816573	0.017577037351278177	0.003549502483545334	4170		0.04614353228608934
reversal_somascan_direct	proteome	n_drug_log	0.015855512893103982	0.01809371441879707	0.38086723695979363	4170		1.0
reversal_somascan_direct	proteome	n_gwas_log	0.017730269479189285	0.018339709480145967	0.33365933706352024	4170		1.0
reversal_somascan_direct	proteome	is_secreted	-0.061573199192444736	0.02324389465989667	0.008072907540893213	4170		0.10494779803161176
reversal_somascan_direct	proteome	is_enzyme	0.012469311559772382	0.01916761919737344	0.5153431840807575	4170		1.0
reversal_somascan_direct	proteome	is_membrane	-0.08520357648591463	0.02214220357643056	0.0001190777765210486	4170		0.0015480110947736318
reversal_somascan_direct	proteome	arch_nsig	0.005359505868798088	0.6851478038840991	0.993758684839158	4170		1.0
reversal_somascan_direct	proteome	arch_str	-0.16223368006509364	0.06402474592765559	0.011279399743819227	4170		0.14663219666964997
reversal_somascan_direct	proteome	causal_nonEGFR	0.00813290016953272	0.01803679384353226	0.6520572348356999	4170		1.0
reversal_somascan_direct	proteome	has_arch	0.11441911945056064	0.6925952785667658	0.8687838612606507	4170		1.0
reversal_somascan_direct	proteome	loeuf_miss	-0.16962600809198505	0.07881287772152716	0.03137667871861499	4170		0.4078968233419949
reversal_somascan_direct	proteome	tau_miss	0.030005718442836612	0.12041173889870993	0.8032117765643406	4170		1.0
reversal_emperor	proteome	loeuf	0.20846087404427158	0.0319994213707035	7.292241213743466e-11	1274	0.21985923250671036	9.479913577866506e-10
reversal_emperor	proteome	tau	-0.024152771187160343	0.029208238180260335	0.4082844468599037	1274		1.0
reversal_emperor	proteome	n_drug_log	0.04497645182584187	0.027865151810389274	0.10651110545125192	1274		1.0
reversal_emperor	proteome	n_gwas_log	0.03156606209324668	0.02813816507508542	0.2619373825009227	1274		1.0
reversal_emperor	proteome	is_secreted	0.03381367152289653	0.030215733078033775	0.26310814380172365	1274		1.0
reversal_emperor	proteome	is_enzyme	-0.08810384766614487	0.029092426673600957	0.0024584284478975484	1274		0.03195956982266813
reversal_emperor	proteome	is_membrane	-0.1526754468703796	0.031001535198053945	8.44594084365391e-07	1274		1.0979723096750084e-05
reversal_emperor	proteome	arch_nsig	-0.25580705034016765	0.07021735244980122	0.00026940076082748786	1274		0.003502209890757342
reversal_emperor	proteome	arch_str	-0.29821808157335444	0.05969929605642552	5.873322003390948e-07	1274		7.635318604408232e-06
reversal_emperor	proteome	causal_nonEGFR	-0.01863138234029879	0.022495439250837097	0.40754064242166677	1274		1.0
reversal_emperor	proteome	has_arch	0.5125135362314711	0.1392503691396159	0.00023276032452382658	1274		0.0030258842188097454
reversal_emperor	proteome	loeuf_miss	0.0599135263665454	0.08255506712396674	0.4679980865463388	1274		1.0
reversal_emperor	proteome	tau_miss	-0.025000266383812534	0.13550490491689005	0.8536234765556541	1274		1.0
