mark_key,Z_responsiveness,meas_mean
HELT,1.017718898246957,4.200541315789472
C1RL-AS1,0.5572705245444923,4.662200382368388
RNU2-37P,0.0604803198440939,1.3804356644736846
PSMC4,1.267647767241613,7.259364255077583
COX7C,0.6310894624920352,9.642301741276112
PATE1,0.04793994334166,5.743842055137844
SPATA17-AS1,0.8226491338082663,1.9929453947368423
SAPCD1-AS1,0.2068172120070938,4.67154875
ADAMTS9-AS2,1.7524704449420043,3.247672379253866
VCAN-AS1,1.0734486855414616,1.506632427631579
PARVG,0.2984239018037644,5.03272864321666
NCAPH,0.3870945893369183,4.277442946592585
ATP11C,0.4975256234646438,6.187452811629663
RTP3,0.1334296554307439,7.682883179824561
RNU6-932P,0.3900432050419438,2.0935681578947363
STK11,0.2509829614915876,6.657261423515109
MIR4330,0.4941683400052737,4.023170197368422
GIT1,0.5149678022991537,6.598115961740873
RRN3P3,0.5018706467737529,6.635999014724311
ITGB2-AS1,0.9055835460060516,3.515099157796196
SSTR2,0.8519460623633369,5.519157946034973
RPS11,0.81788996282749,12.317932624489316
RNU6-789P,0.4790094237036008,1.895150921052632
LINC02926,1.8371653612121053,2.8450485526315785
CASP5,0.4302071241660504,2.115571513157895
RNY1P12,0.2516781774247272,2.0432096052631583
TMEM209,0.0054149117689982,5.2958416412048175
HOOK2,0.279120364491037,7.262401932148669
SLC23A3,0.1415829571739744,5.069563289473685
NSUN7,0.6912827786880499,5.254573588659149
SMCO3,0.2444996062121203,4.457999539473683
SNX22,0.3522377852887878,2.8130566651755093
RP11-727F15.12,1.039318867144139,1.5483055335557494
IQCC,0.0418215239217469,4.74943446981757
RNA5SP530,0.6524630233172904,3.9698661184210544
TMEM92,0.0059779277650006,5.2184569736842095
SYNPR,0.0032720684013998,2.405922039473684
CD109,0.328102005180536,5.385125637820746
FAM46A,0.9615546982005716,6.518126993225465
SNORA80B,0.1838550276271857,5.650335526315788
MIR548X2,0.0125449358262826,3.506838947368421
ISLR2,0.5152790028834289,5.17421704852321
SRPK3,0.3161947669570411,9.837244761904763
MALRD1,0.2159997564755513,5.230290875626566
CTNNAL1,0.0550031858881568,6.427668401305304
RP11-713M15.2,0.3623459831207479,0.7737907225369665
PADI6,0.2125758450385799,5.821095587406015
GOLM2,0.0246948707936721,7.310576907894738
C1orf94,0.1696992939713577,3.643413092105264
NOL11,0.059746023256147,7.260791580496178
DHX9,0.3682599876304853,6.655088226777884
MFAP5,1.4415022732632845,7.304320500796197
MYOZ3-AS1,0.7035259505130983,5.407344078947368
LINC01079,0.0004313793838273,2.744096644736841
PHF13,0.4817430624246626,6.631109769899161
JMJD6,0.0430760746426464,5.732763441164733
ECI2,0.7375311580418467,7.940108176011717
TMEM200A,0.3091928750174151,5.737568336466166
TENM3,0.5253635613766835,6.105655786340853
ATP5D,0.9015750110946982,6.230745124970246
CTBP1-AS2,0.8866040146666113,2.0031039282048817
COX6C,0.4599696610662576,8.989993914156553
CMPK2,0.0884427686522842,4.991660965287541
RNU6-854P,0.4589951279449967,1.6470288947368426
ZNF721,1.184875712537328,5.171033459762668
SLC25A30-AS1,0.3858506515738552,4.159466184210527
NOXA1,0.5539684179834667,5.240568673835704
CHRM2,0.0069502680734202,5.994303804824561
RNA5SP28,0.7317506203544256,3.517131052631578
MRPS35,0.1337875944091023,7.254344331339908
DAAM1,0.6435775242145098,6.627771202884517
OR9Q2,0.5500315334959324,3.563840526315788
REXO1L2P,0.657102421397524,7.819142380952381
CAMTA1,0.0224446770580612,4.798582962565755
BUB3,0.5116138879154323,5.981176529016012
LOC100505715,0.5416448192112157,8.353366190476192
ELP3,0.5823555128780501,6.714628260712537
GPC1-AS1,0.5772045710580697,4.3831227631578935
ZNG1F,1.0781558142528591,7.320253026315793
RN7SKP284,0.0082934295733352,2.027739736842105
MIR208B,0.0177609345804339,4.589677852443609
ACAT1,0.2082647762117233,6.17351260072885
SNORA35,0.0856304712858053,5.96951897869674
RNY3P12,1.1132664253857716,4.563719736842108
CATSPERE,0.7358949564620001,3.8978354605263146
SLC9A2,0.5042211117259,5.401104458020049
RNU11,0.7577023455955999,8.044379999999999
FAM90A27P,0.2591443767707717,4.613051381578949
LINC01111,0.0590038496686768,1.9134716447368416
AASDHPPT-AS1,0.9336620256214098,3.193925394736844
ZBED9-AS1,0.018971451099597,3.377075394736844
MAGI2-AS2,0.2136065322028809,1.458631052631579
RP11-174G6.5,1.121808755601451,3.1791377850968976
LOC644285,0.229591775487809,7.828566190476191
AP001505.10,0.056034420668369,3.2860853850086222
FAM230I,0.5560084037044939,2.902651973684209
SRRM4,0.0056647426724601,4.733409699248121
RP3-431P23.5,0.4034608932421171,0.7049777179194923
TMEM8C,0.0899197885098156,7.8640630952380945
HLA-DRA,0.4305012909253281,9.653257418859416
EXOC3,0.0438156210387911,6.440099603095395
RP11-667F14.1,2.0274675989002517,1.2387395551133031
