gene,meth_delta,expr_delta,expr_p,expr_sig
APOL6,-0.0004455017731296888,0.398384939795514,0.22058720475778226,False
APOLD1,-0.002211406453388909,-0.21486153909263392,0.13006830667350705,False
APOM,-0.000863491470068891,-0.04599640078904215,0.8232357492587932,False
APOO,0.010151910238459747,0.10540251448286783,0.49238627909034705,False
APOPT1,-0.0006950769858473159,0.02331833369728943,0.8800789867251574,False
APPL2,-0.0007362536132351494,0.14186135098574748,0.5803569005783399,False
APRT,-0.003019717696853738,0.08059270932851821,0.1598221931917037,False
APTX,-0.00478585853399399,-0.053022067088518594,0.8473333756523256,False
AQP3,0.0020768921952727844,-0.15239162368489798,0.5630655041600949,False
AQP9,-0.0018224957308994034,-0.16852026934848416,0.6034870778236268,False
AQR,-0.00492833565288376,0.13913133477008885,0.49454407459786665,False
ARAF,0.00784836894908533,-0.7394588620291616,0.18552261767004072,False
ARAP1,4.520041300932637e-05,-0.2518682119745763,0.65230919518401,False
ARAP3,-0.0020806317444484975,0.13930686589692146,0.8062257509473254,False
