R_restoration,layer
0.6248140804534132,proteome
-0.8781429344131466,proteome
-0.0350173573492402,proteome
-0.326673593409892,proteome
-0.1018672019009589,proteome
0.1867286086245333,proteome
0.8350946912519572,proteome
0.0914502215649361,proteome
0.5916001214674191,proteome
0.3673259567954802,proteome
1.7720947335311972,proteome
0.011171773246196,proteome
1.745466242482434,proteome
1.2835511575605822,proteome
1.9005154623027396,proteome
0.7423709428756781,proteome
0.3050479787304488,proteome
-0.0882744157798927,proteome
0.0353253600685754,proteome
-0.5340019052944717,proteome
-0.7007539327290329,proteome
1.1667448270197178,proteome
0.1642226352782316,proteome
0.6476591304986256,proteome
0.2589945646499625,proteome
0.309879885059279,proteome
-0.588383307749594,proteome
1.09014658012725,proteome
1.626786269624631,proteome
-0.7826211945121586,proteome
-0.4536001572981494,proteome
1.3421291814825071,proteome
-0.1773443545477868,proteome
-1.4621392000008464,proteome
-0.328935550099002,proteome
-0.191630755424391,proteome
-0.0272354353810785,proteome
0.1043737550716654,proteome
0.0054038991015388,proteome
-0.3845698132330682,proteome
0.738553406987858,proteome
1.290897787984595,proteome
0.7562011058884116,proteome
-0.7280636475113594,proteome
-0.4966544425337625,proteome
-0.3190772875939291,proteome
1.6402598495988563,proteome
0.9321836570347866,proteome
-0.3632284822315028,proteome
-0.3392789491853299,proteome
-1.1687390473334818,proteome
0.5192028482738575,proteome
-0.049965806818221,proteome
0.440008490713103,proteome
-0.1637554770470324,proteome
-0.3802639865183821,proteome
-1.0197855787030894,proteome
-0.593986321420732,proteome
-0.4002403924196154,proteome
1.2292340394437828,proteome
0.4396698147829975,proteome
-0.8910276891322942,proteome
1.7461390733317952,proteome
0.05015919389314,proteome
-0.1142317636228684,proteome
1.0890316837960707,proteome
1.085311500538165,proteome
1.757981079008314,proteome
0.5685958275613956,proteome
-0.1690490983798411,proteome
0.3577272307590355,proteome
0.5907598111800983,proteome
1.1495746753964955,proteome
0.4414698797977136,proteome
1.2728719841379506,proteome
-0.3912664157492208,proteome
0.8480557917420014,proteome
0.8715380573908056,proteome
0.5119826098098781,proteome
0.7126831307415515,proteome
1.0326689991792986,proteome
0.9349138168694728,proteome
-1.0821836499231576,proteome
0.3381247108147529,proteome
0.5588877325485717,proteome
0.3811495830804714,proteome
1.1257060335696307,proteome
0.2377686112805715,proteome
-0.2145223799400303,proteome
1.906743320973606,proteome
1.4385655975747746,proteome
1.7048830349548034,proteome
1.5613121513485115,proteome
-1.058246610134787,proteome
2.082103923636269,proteome
0.0664942078803094,proteome
0.1730090143013129,proteome
-0.309486429793504,proteome
0.4809815811130993,proteome
0.1395834124903911,proteome
0.597775378815444,proteome
0.6836372974272288,proteome
-0.5780856480218379,proteome
0.1040758577550769,proteome
-1.0160432628840672,proteome
-1.5866759718760406,proteome
1.0496169482882756,proteome
0.1701204767045596,proteome
0.2402233369041313,proteome
0.7109902080011825,proteome
-0.444821414011783,proteome
-0.1528068124227703,proteome
0.8353432206813214,proteome
2.4872915322177187,proteome
1.3919740775241574,proteome
-0.4503342482488737,proteome
-0.996093359092494,proteome
-0.427156333260741,proteome
1.72380043187655,proteome
-0.7200973602324858,proteome
1.4141426590126422,proteome
0.8411120475709827,proteome
0.153220022816663,proteome
1.3860631553533915,proteome
-0.3374322669004949,proteome
1.5033345565110714,proteome
0.6921423521762659,proteome
1.374021820499882,proteome
0.2399506030226195,proteome
-0.3749067593091671,proteome
1.5063515190863224,proteome
1.450754698573012,proteome
-0.1391676220626709,proteome
-0.6065923470904306,proteome
0.1470433768698381,proteome
0.5581586761018345,proteome
0.4144347057130366,proteome
0.2749034470370547,proteome
0.9325324384306232,proteome
0.299104892161591,proteome
-0.1234613818113704,proteome
