gene,meth_delta,expr_delta,expr_p,expr_sig
ACVR1,0.006071207071337501,-0.17104291367577262,0.152248880368218,False
ACVR1B,0.0014785064989714287,-0.026364046022531798,0.4814389375139566,False
ACVR2A,0.0005793497284812502,-0.01250660394541409,0.8854954713298328,False
ACVRL1,-0.007841341763894442,0.27306394547863216,0.08638803140000091,False
ACY1,0.002297625493302222,0.24916423959832731,0.040293528340258566,True
ACYP1,0.0027168415505300003,-0.2543890273074284,0.007613884920721403,True
ACYP2,0.003074259912913043,-0.10475621720365715,0.23676056679478308,False
ADA,-0.0037220343728666663,0.08254322262630284,0.47351037912801375,False
ADAL,0.00292629935172155,0.05604623080274893,0.6451614836581585,False
ADAM10,0.0031332075957979993,-0.009486560897559877,0.9400382898986044,False
ADAM15,-0.0013090320612944447,0.35100439736246275,0.051925458132970954,False
ADAM17,0.0008951812463687499,0.055635953961067214,0.17064001862249012,False
ADAM19,0.0027035151320640004,0.1181701709866766,0.21837348966163905,False
ADAM23,-0.0004185258758928572,-0.34742935535236374,0.006152545555099116,True
ADAM33,-0.0049597814607523815,-0.13254722256136112,0.22299147523340493,False
ADAM9,0.0017984965143549997,-0.30139967973540477,0.02730350940135994,True
ADAMTS1,0.0013021013134785712,-0.09878575137635552,0.5136484105721288,False
ADAMTS10,0.005170342000208333,0.01961961253130813,0.9111388979042288,False
ADAMTS13,0.0012932055307546832,0.04328382906552622,0.6818142420542613,False
ADAMTS9,-0.0029676789865805556,0.4782988374545651,0.005138130598478983,True
ADAMTSL2,0.00380189584907,0.39232462633521314,0.009380354735750482,True
ADAMTSL3,0.0024790737239626668,0.29590596682473963,0.010750105988250176,True
ADAMTSL4,0.0006621531818818183,-0.06878535337794664,0.5863777290542722,False
ADAMTSL5,0.004369809994061044,-0.15287431892894934,0.16717717934042503,False
ADAR,0.0015333559911818518,0.14327873607564492,0.08188882963216912,False
ADARB1,-0.0010970956680625,0.07165815103643224,0.6299298320583777,False
ADAT1,-0.0013157080879583336,0.11258536751820447,0.31169866350223907,False
ADCK1,-3.853375605722342e-06,0.04412435307412845,0.6754556071223774,False
ADCK2,0.0023044739599,0.09749237480582207,0.14726216322620164,False
ADCK4,0.0016069985105714283,0.2764956939196158,0.013890863467877343,True
ADCK5,0.0094507802758,-0.08543325225552763,0.29265228411256966,False
ADCY1,-0.001173866341152381,0.2465229511928038,0.013681063101023145,True
ADCY2,0.0034188139353034676,-0.3542333822118383,0.00021472333732621126,True
ADCY3,-0.005848873669824242,0.37665527657921866,0.010129983839260295,True
ADCY4,0.0023344336055000003,-0.016463841379834546,0.930191045207712,False
ADCY5,0.0006151077504580647,0.12697037629382657,0.2212863519094695,False
ADCY6,0.005444293429316666,0.23065232281952477,0.06535650618891493,False
ADCY9,0.0048461455494092425,-0.013773392289193366,0.8775906689229908,False
ADD1,0.0018275315608346154,-0.12886540650646677,0.002879303450067171,True
ADD3,-0.004351672325900001,0.1758736632759019,0.31250155191839735,False
ADH1B,-0.00719449105075,-0.14552514298472063,0.3620986484965326,False
ADH1C,-0.0029061565959,0.051110041888655304,0.7436954808534098,False
ADH5,0.0010145819968142857,0.02957003950910877,0.5521348398738266,False
ADHFE1,0.008579976169951818,0.0171519077438542,0.8269278142948475,False
ADI1,0.0019954728809520005,0.0815745350001853,0.06644697814461736,False
ADIPOR1,0.004788493167408235,-0.030237510438191218,0.5522609093959399,False
ADIPOR2,0.003981152092641177,0.0003118067185237307,0.9961755376024515,False
ADK,0.006903322000671428,0.03590539049360694,0.6509775283572394,False
ADM,-0.0027702685851790005,0.44434655659783967,0.005124889050508431,True
ADNP,0.0005762020004285712,-0.07220016068073926,0.19233393595428058,False
ADO,0.004401322887693125,0.0034580655185789274,0.9428428890495217,False
ADPGK,0.005252146294489474,0.12649065410063615,0.19092796320656302,False
ADPRH,0.0027837356646593565,0.14515026357930913,0.0851122839526179,False
ADPRHL1,0.005364096799509678,-0.12640041056010654,0.16168746637977735,False
ADPRHL2,0.0031482644851800004,-0.025159287408190633,0.7066543809739727,False
ADRA2B,0.0016256656425555557,-0.04784609066319765,0.6187549619590653,False
ADRB2,0.0020195969307,0.12099312050143046,0.16611868443206199,False
ADRBK1,-0.002854314984941923,0.04111377848220074,0.6031727119684105,False
ADRM1,0.0058495483478,0.05073243856011614,0.5383220279145153,False
ADSL,0.00321342900302,-0.2588654727714687,0.0014193694007579032,True
ADSS,0.0018653995190750002,-0.029956119504200265,0.6979601823316761,False
ADSSL1,0.008920061245203573,-0.15281904888753123,0.05255485796869199,False
AEBP1,0.0025317479529150004,0.508498205217826,0.0012515960637177802,True
AEBP2,0.000960561602648375,-0.11415177748062716,0.29171460222604184,False
AES,0.004089075410977266,-0.16577577670250304,0.012309981731070115,True
AFAP1L1,0.001273689567611765,0.13213333329520915,0.33181859982936246,False
AFAP1L2,0.00101600127792,0.348212683606153,0.0039850733422421205,True
AFF1,0.00822017348635325,0.17817868383936683,0.01231950217518815,True
AFF4,0.004897030052829999,-0.007604980797723689,0.9410492399495481,False
AFG3L2,0.0033386990257399996,0.011586290289830714,0.824796615238514,False
