gene,rev2,rev5
TMEM106A,-0.8170270270270268,-0.8129729729729731
ZNF782,0.2643243243243243,0.1962162162162162
HIST1H1E,0.4481081081081078,0.1454054054054054
UBL5,-0.1535135135135137,-0.2337837837837838
TTC17,0.3162162162162162,0.1799999999999998
GCOM2,0.3194594594594594,0.1497297297297299
MOSPD1,-0.2527027027027028,-0.3551351351351351
ADAMTSL3,0.4832432432432431,0.4935135135135134
RNF6,-0.3218918918918918,-0.0883783783783784
INTS6P1,0.268108108108108,0.1451351351351351
FAR1,-0.4035135135135135,-0.3878378378378379
TIGD7,0.1929729729729729,0.1691891891891892
HTATSF1P2,-0.3354054054054054,-0.1299999999999999
ANKRD20A17P,0.7562162162162159,0.4481081081081079
ANGPT1,-0.6408108108108108,-0.4570270270270271
RNA5SP517,0.2018918918918918,0.0481081081081081
SCARB2,-0.8348648648648647,-0.8083783783783786
TRAPPC2P10,0.1989189189189189,0.164054054054054
PRH1-PRR4,0.4818918918918916,0.2505405405405403
TCIRG1,-0.6645945945945941,-0.6486486486486488
CFAP20,0.4094594594594594,0.2127027027027027
YIPF2,-0.1416216216216216,-0.0894594594594594
ZC3H18,0.1291891891891891,0.024054054054054
ZNF676,0.402162162162162,0.3702702702702701
STK40,-0.5775675675675677,-0.3643243243243243
BAK1,-0.2213513513513514,-0.2632432432432433
TADA2A,0.2599999999999999,0.3086486486486487
PKD2,-0.5667567567567571,-0.5362162162162163
PSMA5,-0.5943243243243244,-0.4135135135135135
HLA-DQA2,-0.9089189189189189,-0.9972972972972972
HMGN2P31,0.1721621621621623,0.0316216216216216
SLC35G2,0.4372972972972974,0.3218918918918919
SAP30BP,0.2537837837837838,0.1775675675675675
TMEM243,0.5645945945945946,0.1389189189189189
MGAT5,-0.4418918918918918,-0.5754054054054055
ATP6V0B,-0.8491891891891891,-0.8578378378378381
OXT,-0.1954054054054054,-0.2424324324324324
CAPN5,-0.2075675675675675,-0.0643243243243244
RTFDC1,-0.1499999999999999,-0.2245945945945945
CCDC167,-0.4208108108108107,-0.3618918918918919
GNAS,0.2064864864864864,0.1089189189189187
CPT1A,-0.5800000000000001,-0.7562162162162164
TMEM128,0.2848648648648648,0.1305405405405404
DUSP3,-0.8162162162162163,-0.523243243243243
OR2D3,0.2448648648648649,0.0937837837837837
MTX1P1,-0.3229729729729728,-0.3548648648648649
PGK1,-0.658108108108108,-0.4143243243243242
RNASET2,-1.223513513513513,-1.6586486486486482
SRSF5,0.3048648648648649,0.2170270270270267
FAM129A,-0.3327027027027026,-0.6362162162162164
SYNE3,0.2245945945945945,0.3670270270270268
TUBA4A,-0.4556756756756756,-0.691081081081081
KMT2C,0.1905405405405406,0.1524324324324324
RN7SL338P,0.2770270270270271,0.3024324324324324
TPST2,-0.4386486486486486,-0.4454054054054054
COQ5,0.1921621621621622,0.2143243243243243
GLRX5,-0.4437837837837836,-0.284054054054054
ST7,-0.3467567567567565,-0.2462162162162161
ZBTB26,0.3886486486486488,0.174054054054054
PDSS1P2,0.1108108108108107,0.1008108108108107
ELOVL6,2.0832432432432437,3.272162162162162
RN7SKP139,-0.1054054054054054,-0.0389189189189189
PMS2P3,0.382972972972973,0.3813513513513514
CDR2L,-0.267027027027027,-0.2435135135135134
SERPINH1,-0.9705405405405404,-0.958918918918919
ANKRD20A5P,0.3694594594594595,0.3318918918918919
DDX46,0.2143243243243244,0.035945945945946
HLA-DPB2,-0.7235135135135136,-0.7483783783783783
MBOAT2,-0.3040540540540539,-0.5302702702702703
RNA5SP449,0.2970270270270271,0.5194594594594596
TOR1AIP2,-0.2013513513513514,-0.15
LIMCH1,-0.8016216216216219,-0.6172972972972974
MTCH2,-0.9383783783783788,-0.5037837837837837
RPRD2,0.3697297297297295,0.52
FST,0.7037837837837835,0.1908108108108107
NNAT,-0.9275675675675678,-0.2783783783783784
FIGF,1.325945945945946,0.751081081081081
CLIC1P1,-0.1105405405405405,-0.1124324324324324
BNIP3P28,0.2275675675675676,0.1932432432432432
PCK1,0.977567567567568,1.4681081081081082
EIF3F,0.382162162162162,0.2740540540540538
RNASEH1,-0.1899999999999999,-0.1491891891891891
UBE2Q2P6,0.377027027027027,0.6300000000000004
LILRB3,-0.6464864864864864,-0.6583783783783783
FAM192A,-0.3262162162162162,-0.265945945945946
FMNL3,-0.3778378378378377,-0.1951351351351351
MSH2,0.28,0.0127027027027028
CLINT1,-0.4572972972972975,-0.4362162162162164
PLIN4,-0.5127027027027028,-0.1662162162162163
CRY1,-0.6154054054054054,-0.2581081081081081
SEPT9,-0.5102702702702703,-0.5316216216216215
BID,-0.6424324324324323,-0.8035135135135134
IL1F10,0.1383783783783783,0.0402702702702703
CYP4A44P,0.2616216216216216,0.2664864864864865
VIPR1,0.4102702702702702,0.5145945945945943
FAM86JP,-0.1929729729729729,-0.1427027027027025
SLC19A1,0.6016216216216214,0.4172972972972972
NFE2L2,-0.2667567567567566,-0.3724324324324322
ITGAE,-0.469189189189189,-0.3672972972972973
INPP5D,-0.4583783783783786,-0.6045945945945945
GOLGA8A,0.368918918918919,0.2783783783783784
YTHDF1,-0.1759459459459457,-0.17
PRPF8,0.281891891891892,0.302972972972973
STS,-1.113243243243243,-0.7089189189189188
CTDP1,-0.2137837837837836,-0.3254054054054053
CORO1C,-1.4562162162162164,-1.0832432432432433
PRPF38A,0.2337837837837839,-0.0483783783783781
ZNF460,0.2799999999999998,-0.011891891891892
PDIA2,-0.1070270270270269,-0.1183783783783783
HSPA8,-0.984054054054054,-0.8332432432432434
