gene,z2,z12
PRSS3,-0.08562323706621404,-0.011956412368231655
BTK,-2.338055936308945,-2.3192434929779093
PLAUR,7.040658403512654,11.551414789447605
PLAT,-1.3919570156478989,-0.12069102290368551
PSMA6,-0.18313329811246365,-0.4303266448742604
B2M,1.8097404821483742,3.067980222800277
ARTN,-0.11592281270876596,-0.0782944924452469
FGF20,0.010652664479725666,0.023328442013307575
CRK,-1.8767370864770199,-2.780876770503617
POSTN,0.3963128724372979,1.8176337853855775
LYZ,49.12213220450283,58.73249884086365
IL18RAP,-0.12038438653374617,-0.08331669501230765
FLRT1,0.07271423674011834,-0.17733835115227406
LGALS2,0.3076142737014763,0.7708269782330007
CFH,-55.15693638085691,-37.985865513211564
GP1BA,0.8515240671328338,0.9934448146112818
MATN3,-0.04104669818067949,0.16108204489230907
NAPA,-2.2994624467594185,-6.923045474519558
CPE,0.9351566772650295,0.8243168953505092
CXCL13,1.1924198420454228,0.22841398263143153
IL22,3.0569518378232168,7.0360842818643095
CRLF2,-0.11486873669383282,-0.09926714524005384
CNTN1,0.3886277531262064,0.22367205118134695
BMX,-0.13690359721098788,-0.0883237792203614
TPM4,-19.170825029211713,-28.710345229665986
CCL26,-0.16510889024492265,-0.16578618044487609
TNFRSF9,0.1974458108720164,0.1936254756055995
LTBP4,1.6034218915246181,1.4561538215278733
NRXN3,0.8359830156384248,1.1895124866718605
UBE2I,-1.0278409096861247,-1.7377448875404373
FLT3LG,-0.016023926344740255,-0.19613047139799245
USP25,-0.635328988640625,-0.2872778949005869
DYRK3,-0.28217410528289244,-0.678494507974395
HNRNPK,0.13021488632121475,0.08335797976190373
FGF23,0.07593508133893379,2.566062333274341
LTA,-0.11081521584139255,0.7124817419728553
SHBG,15.95319229636974,13.362187165745386
EIF4G2,-0.4791074775382308,-0.4574135109367117
ADGRG5,0.09820937186502103,0.07770080611654838
PDGFRB,4.977611191487583,4.004707932121399
LMAN2,-32.246331407250814,-39.28052037202374
CDK5 CDK5R1,0.3111334568510557,0.6855419891730492
STK16,0.798163293800692,1.0273215682939216
FCN3,-13.515751007267758,-12.170976771061968
C6,16.458185223745605,13.150239401973979
SCARF2,-0.05960938558659425,0.04767324478462898
YWHAZ,-36.548844869589765,-61.57416885883585
ASGR1,-0.9339011296572143,0.08988678495154807
IL17RC,1.4698958633725607,-1.4030127896182192
PIAS4,-0.14216448768164106,-0.2177857762495007
THBS2,-14.907437934186069,-13.865802963282878
RNASEH1,0.007787534037473177,-0.07599185007340938
WNT7A,-0.06431725113417723,-0.06346512668540545
HS6ST1,1.2993165813991694,1.123608070908208
ISG15,0.5808075637407937,-1.2997485828468494
