layer,Z
proteome,0.0818696572283187
proteome,0.468172277856424
proteome,0.2406037258931725
proteome,1.0532814655382672
proteome,0.9151864265055026
proteome,0.7521252929497912
proteome,0.226060622826385
proteome,0.0259650356197386
proteome,0.3175901967089116
proteome,0.2950149420196338
proteome,0.4005365818987597
proteome,0.7291879970407739
proteome,0.6762075306405764
proteome,0.7286951770701425
proteome,0.6549487383021401
proteome,0.0212072996120197
proteome,1.5291210892569005
proteome,0.0727235337430087
proteome,0.3316221019331827
proteome,0.7698795949075152
proteome,1.385868617173867
proteome,0.376852873751379
proteome,0.2920921136514234
proteome,0.8411409999268359
proteome,1.1855075918741749
proteome,0.3723983068383937
proteome,0.7285064340214976
proteome,0.049247807727244
proteome,1.254993163794017
proteome,0.2334912106215159
proteome,0.1391864122525739
proteome,0.638782104165487
proteome,0.4435775661995169
proteome,0.5638675993706944
proteome,1.317806694698349
proteome,0.1717441470656949
proteome,0.0378436449858357
proteome,0.3022662370309204
proteome,0.069835908094476
proteome,0.6204477253995357
proteome,0.0110410202511371
proteome,1.3016188700728255
proteome,0.7009673845492693
proteome,0.044019443739704
proteome,1.0257372599175345
proteome,0.1004960177988104
proteome,0.9369537936447055
proteome,0.6890523791317396
proteome,0.0708101631850796
proteome,0.6085455660056197
proteome,0.1063943764875797
proteome,0.8567295965133127
proteome,0.4506448147422348
proteome,0.1853013897103864
proteome,0.7670123817202301
proteome,1.1911926158514214
proteome,0.1516873329754092
proteome,0.4663356646387761
proteome,0.2812263274288743
proteome,0.4364069657129406
proteome,1.5319950177232646
proteome,0.2168654982034543
proteome,1.501087607828481
proteome,0.4446226223789011
proteome,1.103717727096983
proteome,0.5366744353494602
proteome,0.585807590348665
proteome,0.6556820867423089
proteome,0.5510278276416739
proteome,0.2866816184367531
proteome,0.1956768602499676
proteome,1.087471618975978
proteome,1.084310841593234
proteome,0.0476527060977263
proteome,0.2335187040679258
proteome,0.4697877683488882
proteome,0.5270013037373816
proteome,0.4514565369651555
proteome,0.0453826585394996
proteome,0.5869838685970974
proteome,0.0210893730311267
proteome,0.9063877793604144
proteome,0.3619218623229279
proteome,0.7775895156783007
proteome,0.8743373371482214
proteome,0.7017502687772367
proteome,0.0608527361646909
proteome,0.2705541562596268
proteome,0.4158888664543309
proteome,1.7715327370733551
proteome,0.3483955916234455
proteome,0.1133841238219792
proteome,0.2917786099682913
proteome,0.5006230139207395
proteome,1.0660571400439187
proteome,0.4533036603390027
proteome,0.120316539469634
proteome,0.4901945473311243
proteome,0.3187146374336702
proteome,0.1146071971626597
proteome,0.427093868936204
proteome,0.9859642490176768
proteome,1.0277803682566558
proteome,0.0978271865439282
proteome,1.075174408625014
proteome,0.9045818682555712
proteome,0.6534029184369337
proteome,0.3043535637303181
proteome,0.0560874455357107
proteome,0.1884460944795969
proteome,0.8800099998499454
proteome,0.5084310019380791
proteome,1.4538980115553457
proteome,0.2325198657500151
proteome,0.8129129964288252
proteome,0.2006270574136881
proteome,0.7990374508831627
proteome,0.4119743304967477
proteome,0.3636386245412097
proteome,1.1125726720251143
proteome,0.2775994589951057
proteome,0.1308804846634943
proteome,1.35593437699477
proteome,0.9411701954214292
proteome,0.5149569448348835
proteome,0.8620709096503129
