mark_key,class,base_sd_mean,Z_responsiveness
C11orf58,persistent,0.4618174972037642,0.2799937567958103
C11orf80,persistent,0.2669803112589275,0.0122654815115026
C12orf75,reversible,0.4163792250449184,0.4940521999769064
C14orf93,reversible,0.2923275437066449,0.7956132225453129
C16orf74,persistent,0.3436537263642045,0.1452569806055377
C16orf92,reversible,0.4327786930457973,0.033180171870549
C19orf47,persistent,0.2966494573823356,0.1665717657228066
C19orf68,reversible,0.2527050192496698,0.1077833754574075
C19orf73,reversible,0.3659551232115316,1.408484160617483
C1GALT1C1,persistent,0.2841771362224372,0.129637455926821
C1QC,reversible,0.6918217816408567,0.351870412162318
C1QTNF1,reversible,0.3841683347613973,0.5251785623578074
C1QTNF1-AS1,reversible,0.3398438745290029,0.4508416545304438
C1QTNF6,reversible,0.3822805357840613,0.5989308305909873
C1orf162,reversible,0.5814619712806739,0.2883890768581523
C1orf174,reversible,0.2869756963437357,0.3011346570575912
C1orf198,persistent,0.3976975288450792,0.7778987725898835
C1orf216,persistent,0.2853665663879172,0.0347144707238862
C1orf52,persistent,0.2612185222351746,0.1527945508589593
C21orf58,persistent,0.3179480708663111,0.0329095771311648
C21orf91-OT1,persistent,0.1296127324199052,0.2314764855981619
C2orf49,persistent,0.4925150800031049,0.4394041654282529
C2orf76,persistent,0.3735151576848255,0.2298270309386781
C2orf81,reversible,0.1283696116654247,0.8759648882171849
C2orf88,reversible,0.3441630547840948,0.540211613129203
C3AR1,reversible,0.5169851691278031,0.4993074312444421
C3orf62,persistent,0.2968171440541824,0.1683104454503216
C5AR1,reversible,0.6000626881864628,0.7413662210224843
C6orf120,persistent,0.2939095793145745,0.4399851973264319
C6orf89,persistent,0.254991171297647,0.8049662861255037
C7orf57,persistent,0.1006421073476753,0.001358232421886
C8orf33,persistent,0.3287079566777504,0.2434601323694573
C8orf48,reversible,0.3342426064140182,0.1335699698291179
C8orf88,reversible,0.1535018818616039,0.91373688623254
C8orf89,reversible,0.3582571947955059,0.1378933326244635
C9orf172,reversible,0.2379222261988411,0.2414512090690012
CA11,persistent,0.35465916990583,0.3995179738404586
CA12,reversible,0.4581859768375055,0.6805164845675551
CA5A,persistent,0.7499292948019565,0.3457574793339336
CABP1,persistent,0.4726650957818309,0.3132473900776739
CACNA2D1,reversible,0.4407066150072589,1.2494812981787082
CACUL1,persistent,0.2077097028735675,0.5287055272175155
CADM2,reversible,0.5059698872237903,1.2553397997915734
CADM4,persistent,0.3735871969541203,0.4899071509719195
CAHM,persistent,0.3247192298418808,0.0652594830141828
CALM1,reversible,0.2360047660024291,0.7346993737192483
CALML3-AS1,persistent,0.1770174925452795,0.0388776125026595
CALU,reversible,0.3876966921885912,0.931886107363412
CAMTA1,persistent,0.2328899133527785,0.0224446770580612
CAND2,reversible,0.3276942659706605,0.3491492087578579
CANT1,reversible,0.2392682597138656,0.2583885784537339
CAPRIN2,reversible,0.297385942364415,0.7090833993836257
CARD8-AS1,reversible,0.4024412552835992,0.0207592868696639
CASC15,reversible,0.1280693130520126,0.9618494384840142
CASD1,persistent,0.2940396062505202,0.251074039520334
CASP4,reversible,0.3300216186438282,0.0365980600656905
CASQ2,reversible,0.6330283537363718,1.0139746968450678
CASZ1,persistent,0.4148959745385667,0.208028036900657
CAV2,reversible,0.3876522868687777,1.308724541371166
CBLN1,reversible,0.4828660283004288,1.181368183372123
CBR3,reversible,0.3402325752511386,0.7745016870226444
CBX3,persistent,0.2737560762857489,0.5854786768603187
CBX4,reversible,0.2834418639390869,0.1212442018691549
CBX7,reversible,0.2885577148009928,0.8601793887852959
CC2D1B,persistent,0.3832122183114798,0.0854650488955393
CCDC102B,persistent,0.4363497923973704,0.0344332513950739
CCDC106,persistent,0.3172429878225676,0.6480396183983365
CCDC117,persistent,0.2443012808769645,0.1764446834348259
CCDC122,persistent,0.4307980422194334,0.6875748070073371
